Customer_ID,Customer_Name,Month_Period,Billed_Amount,Paid_Amount,Outstanding_Balance,Payment_Behavior
cust 101,A 2,Month 1,15593,0,15593,Unpaid
cust 101,A 2,Month 2,17861,0,17861,Unpaid
cust 101,A 2,Month 3,21322,10000,11322,Partially Paid
cust 101,A 2,Month 4,17844,5000,12844,Partially Paid
cust 101,A 2,Month 5,14014,0,14014,Unpaid
cust 101,A 2,Month 6,16919,0,16919,Unpaid
cust 101,A 2,Month 7,17899,0,17899,Unpaid
cust 101,A 2,Month 8,22121,0,22121,Unpaid
cust 101,A 2,Month 9,25759,10000,15759,Partially Paid
cust 101,A 2,Month 10,16801,0,16801,Unpaid
cust 101,A 2,Month 11,18673,10000,8673,Partially Paid
cust 102,A-18,Month 1,3036,0,3036,Unpaid
cust 102,A-18,Month 2,3825,0,3825,Unpaid
cust 102,A-18,Month 3,5933,0,5933,Unpaid
cust 102,A-18,Month 4,60135,5000,55135,Partially Paid
cust 102,A-18,Month 5,2116,0,2116,Unpaid
cust 102,A-18,Month 6,2241,0,2241,Unpaid
cust 102,A-18,Month 7-8,3889,0,3889,Unpaid
cust 102,A-18,Month 9,4074,0,4074,Unpaid
cust 102,A-18,Month 10,4152,0,4152,Unpaid
cust 103,A 22,Month 1,6284,0,6284,Unpaid
cust 103,A 22,Month 2,7365,0,7365,Unpaid
cust 103,A 22,Month 3,8987,0,8987,Unpaid
cust 103,A 22,Month 4,10048,0,10048,Unpaid
cust 103,A 22,Month 5,11734,0,11734,Unpaid
cust 103,A 22,Month 6,12454,0,12454,Unpaid
cust 103,A 22,Month 7,13294,0,13294,Unpaid
cust 103,A 22,Month 8,14039,7000,7039,Partially Paid
cust 103,A 22,Month 9,9022,0,9022,Unpaid
cust 103,A 22,Month 10,9952,0,9952,Unpaid
cust 103,A 22,Month 11,10939,0,10939,Unpaid
cust 103,A 22,Month 12,11739,0,11739,Unpaid
cust 103,A 22,Month 13,12389,0,12389,Unpaid
cust 103,A 22,Month 14,12773,10000,2773,Partially Paid
cust 103,A 22,Month 15,30243,0,30243,Unpaid
cust 103,A 22,Month 16,4084,0,4084,Unpaid
cust 103,A 22,Month 17,5175,0,5175,Unpaid
cust 103,A 22,Month 18,6177,0,6177,Unpaid
cust 103,A 22,Month 19,7105,0,7105,Unpaid
cust 103,A 22,Month 20,8153,0,8153,Unpaid
cust 103,A 22,Month 21,10977,0,10977,Unpaid
cust 103,A 22,Month 22,10431,0,10431,Unpaid
cust 103,A 22,Month 23,11428,0,11428,Unpaid
cust 103,A 22,Month 24-25,12361,0,12361,Unpaid
cust 104,a 24,Month 1,1200,1200,0,Fully Paid
cust 104,a 24,Month 2,1685,1000,685,Partially Paid
cust 104,a 24,Month 3,2240,2240,0,Fully Paid
cust 104,a 24,Month 4,1200,1200,0,Fully Paid
cust 104,a 24,Month 5,2484,2484,0,Fully Paid
cust 104,a 24,Month 6,2797,2797,0,Fully Paid
cust 104,a 24,Month 7,5106,5106,0,Fully Paid
cust 104,a 24,Month 8,5666,5666,0,Fully Paid
cust 105,a 34,Month 1,1394,0,1394,Unpaid
cust 105,a 34,Month 2,2101,2000,101,Partially Paid
cust 105,a 34,Month 3,1340,1340,0,Fully Paid
cust 105,a 34,Month 4,1753,0,1753,Unpaid
cust 105,a 34,Month 5,2402,2402,0,Fully Paid
cust 106,A 36,Month 1,1291,1000,291,Partially Paid
cust 106,A 36,Month 2,1150,1100,50,Partially Paid
cust 106,A 36,Month 3,1214,1214,0,Fully Paid
cust 106,A 36,Month 4,1450,1450,0,Fully Paid
cust 106,A 36,Month 5,997,997,0,Fully Paid
cust 106,A 36,Month 6,723,500,223,Partially Paid
cust 106,A 36,Month 7,620,620,0,Fully Paid
